V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
Apple_Braeburn,0.004504505,0.011695906,0.029874214,0.074400871,0.796296296,0.894323257,0.001334102,0.002168397,0.003398693
Apple_Braeburn,0.00456621,0.011111111,0.029761905,0.071218487,0.789315155,0.891891892,0.001322568,0.002168397,0.003398693
Apple_Braeburn,0.00462963,0.011217949,0.029411765,0.056910569,0.792899408,0.894736842,0.001322568,0.002168397,0.00342945
Apple_Braeburn,0.005555556,0.0125,0.031481481,0.137032086,0.804878049,0.896025974,0.00130719,0.002153018,0.003091119
Apple_Braeburn,0.005698006,0.012232416,0.02970297,0.13625331,0.807341166,0.899013066,0.001291811,0.002137639,0.003106498
Apple_Braeburn,0.005698006,0.012121212,0.028985507,0.128592375,0.802721088,0.894736842,0.001291811,0.002137639,0.003137255
Apple_Braeburn,0.005681818,0.012658228,0.029874214,0.05800047,0.789473684,0.891891892,0.001291811,0.002153018,0.003475586
Apple_Braeburn,0.005747126,0.012578616,0.029874214,0.060731707,0.789473684,0.893617021,0.001291811,0.002153018,0.003464052
Apple_Braeburn,0.005464481,0.012195122,0.028985507,0.035294118,0.773891063,0.893180662,0.001214917,0.002153018,0.003817762
Apple_Braeburn,0.005952381,0.012820513,0.03030303,0.019685039,0.766666667,0.896907216,0.001261053,0.002199154,0.003890811
Apple_Braeburn,0.004504505,0.011800334,0.029411765,0.019607843,0.764165329,0.894736842,0.001214917,0.002168397,0.003890811
Apple_Braeburn,0.005167959,0.011695906,0.029761905,0.019607843,0.764218329,0.893129771,0.001230296,0.002153018,0.003890811
Apple_Braeburn,0.004975124,0.011695906,0.029411765,0.019685039,0.760736196,0.892561983,0.001230296,0.002153018,0.003890811
Apple_Braeburn,0.005464481,0.011538462,0.027777778,0.033160728,0.769847839,0.897256171,0.001230296,0.002122261,0.003860054
Apple_Braeburn,0.004237288,0.022032621,0.071428571,0.015686275,0.68159204,0.888888889,0.001349481,0.002614379,0.00390619
Apple_Braeburn,0.004464286,0.011695906,0.034482759,0.019762846,0.768163931,0.89784746,0.001384083,0.002153018,0.003890811
Apple_Braeburn,0.005050505,0.012195122,0.037037037,0.019743394,0.769230769,0.897680901,0.001445598,0.002153018,0.00390619
Apple_Braeburn,0.004950495,0.012232416,0.04,0.019762846,0.76976912,0.9,0.001445598,0.002137639,0.003890811
Apple_Braeburn,0.005167959,0.013392857,0.046969697,0.015686275,0.75887605,0.893617021,0.001584006,0.002199154,0.00390619
Apple_Braeburn,0.005464481,0.014245014,0.049479167,0.015810277,0.75862069,0.891666667,0.001645521,0.002214533,0.00390619
Apple_Braeburn,0.005747126,0.016025641,0.05952381,0.011764706,0.727810651,0.883495146,0.001799308,0.002337562,0.00390619
Apple_Braeburn,0.003267974,0.019607843,0.067183463,0.015686275,0.676616915,0.894736842,0.001322568,0.002568243,0.00390619
Apple_Braeburn,0.007309942,0.022875817,0.071428571,0.011988048,0.703596038,0.862131434,0.00189158,0.002445213,0.003921569
Apple_Braeburn,0.008849558,0.030178838,0.085138459,0.015686275,0.677231934,0.851851852,0.001906959,0.002491349,0.00390619
Apple_Braeburn,0.007806415,0.029239766,0.083950617,0.015686275,0.653333333,0.846153846,0.001937716,0.002552864,0.003921569
Apple_Braeburn,0.008974359,0.031914894,0.086179936,0.015686275,0.66282392,0.842465753,0.001922338,0.002552864,0.00390619
Apple_Braeburn,0.008888889,0.031746032,0.083950617,0.015686275,0.657894737,0.841135239,0.001922338,0.002568243,0.00390619
Apple_Braeburn,0.009661836,0.033730159,0.088435374,0.015686275,0.654866332,0.838323353,0.001953095,0.002583622,0.00390619
Apple_Braeburn,0.009887006,0.034825871,0.088888889,0.015686275,0.655737705,0.834951456,0.001953095,0.002599,0.00390619
Apple_Braeburn,0.00273224,0.017478397,0.06721452,0.015686275,0.683281573,0.895833333,0.00130719,0.002506728,0.00390619
Apple_Braeburn,0.017799353,0.045045045,0.088235294,0.039370079,0.674627504,0.829787234,0.001968474,0.002660515,0.003844675
Apple_Braeburn,0.021885522,0.048672566,0.089238845,0.040527966,0.673076923,0.827380952,0.001953095,0.002691273,0.003844675
Apple_Braeburn,0.020833333,0.047119748,0.085213033,0.039215686,0.668493274,0.82532511,0.001937716,0.00272203,0.003844675
Apple_Braeburn,0.023148148,0.049618321,0.084033613,0.035294118,0.671568627,0.825608065,0.001937716,0.002768166,0.003860054
Apple_Braeburn,0.022875817,0.049086758,0.082107843,0.032619877,0.668202765,0.826347305,0.001937716,0.002783545,0.003860054
Apple_Braeburn,0.024,0.051378446,0.082010582,0.094117647,0.681239051,0.828947368,0.00189158,0.002752787,0.003752403
Apple_Braeburn,0.023611111,0.049019608,0.077557756,0.090603343,0.6875,0.835294118,0.001876201,0.002737409,0.003756248
Apple_Braeburn,0.023809524,0.048611111,0.074561404,0.102389852,0.69212541,0.835463857,0.001814687,0.002737409,0.003737024
Apple_Braeburn,0.025821596,0.050724638,0.075308642,0.095744681,0.701492537,0.841297209,0.001783929,0.002737409,0.003706267
Apple_Braeburn,0.026246719,0.049382716,0.070776256,0.05976233,0.705552614,0.845070423,0.001937716,0.002660515,0.003629373
Apple_Braeburn,0.027471864,0.049618321,0.071256039,0.062533548,0.708333333,0.844155844,0.001937716,0.002645136,0.003644752
Apple_Braeburn,0.025641026,0.050179211,0.071428571,0.02745098,0.698066505,0.842105263,0.001968474,0.002675894,0.003875433
Apple_Braeburn,0.019157088,0.046153846,0.071428571,0.023529412,0.694089035,0.833333333,0.001830065,0.002783545,0.003875433
Apple_Braeburn,0.018151815,0.045454545,0.071428571,0.024072289,0.69288882,0.833333333,0.001826221,0.002798923,0.003875433
Apple_Braeburn,0.013565891,0.042071197,0.070845307,0.037422521,0.676616915,0.842857143,0.001707036,0.002814302,0.003767782
Apple_Braeburn,0.015151515,0.044191919,0.074074074,0.035294118,0.676845377,0.849056604,0.001691657,0.002814302,0.003771626
Apple_Braeburn,0.001915709,0.012578616,0.051886792,0.019685039,0.747781356,0.905405405,0.00130719,0.002306805,0.003890811
Apple_Braeburn,0.010416667,0.035714286,0.067708333,0.034594716,0.68159204,0.872340426,0.001522491,0.002752787,0.003860054
Apple_Braeburn,0.009259259,0.034427776,0.069148936,0.019607843,0.669879686,0.866666667,0.001553249,0.002798923,0.003890811
Apple_Braeburn,0.009920635,0.034313725,0.068126521,0.031496063,0.687830688,0.873417722,0.001491734,0.002737409,0.003860054
Apple_Braeburn,0.006666667,0.028645833,0.06641604,0.023529412,0.69035533,0.887347262,0.001430219,0.002706651,0.003890811
Apple_Braeburn,0.018867925,0.04519774,0.083333333,0.122742475,0.6875,0.849056604,0.001245675,0.002506728,0.003613995
Apple_Braeburn,0.018193416,0.044871795,0.083333333,0.137171478,0.686971758,0.846846847,0.001245675,0.002506728,0.003598616
Apple_Braeburn,0.018276804,0.043859649,0.083333333,0.143353175,0.6875,0.848954798,0.001261053,0.002475971,0.003587082
Apple_Braeburn,0.018518519,0.044715447,0.084158416,0.156817566,0.68877551,0.852941176,0.001276432,0.002445213,0.003583237
Apple_Braeburn,0.018939394,0.043209877,0.083333333,0.178321095,0.692307692,0.855932203,0.001337947,0.002383699,0.003567859
